Category,Freq,Term,Total,loglift,logprob,topic_area
Topic2,332.60477679424247,petroleum,401.7753154221309,2.3733,-5.8605,business
Topic2,218.7230368208727,inventories,255.54208202326333,2.4067,-6.2797,business
Topic2,621.0796527196669,producers,821.1284644778432,2.2831,-5.236,business
Topic2,638.1508769448999,fuel,857.2491921311974,2.2671,-5.2089,business
Topic2,134.80124725819707,paraskova,152.78534169939857,2.4371,-6.7637,business
Topic2,134.78336375334843,tsvetana,152.78551171658412,2.4369,-6.7638,business
Topic2,2098.04554167374,prices,3708.2257600204834,1.9927,-4.0187,business
Topic2,2369.2156348488998,demand,4330.881915289033,1.9591,-3.8972,business
Topic2,1218.8028947405883,russia,2086.5784386613814,2.0246,-4.5619,business
Topic2,257.30540970083496,wti,330.56115982303663,2.3118,-6.1172,business
Topic2,737.8980202502433,cuts,1209.8033612098855,2.0679,-5.0637,business
Topic2,497.6046741573176,output,827.2133295798386,2.054,-5.4577,business
Topic2,1002.1269280864566,price,2250.462397566271,1.7533,-4.7576,business
Topic2,1105.918321840433,production,2864.0637699102326,1.6107,-4.6591,business
Topic2,1496.0872504074289,million,4681.378199548009,1.4215,-4.3569,business
Topic2,290.7009305318112,mdash,453.47531730173813,2.1176,-5.9952,business
Topic2,782.8488292624749,energy,2056.9690262881836,1.5962,-5.0046,business
Topic2,1022.0800489846446,rsquo,3391.706162173204,1.3628,-4.7379,business
Topic2,1030.626791112604,market,5015.575235494154,0.9799,-4.7296,business
Topic2,694.0681907414535,cut,2452.0855619795802,1.3002,-5.1249,business
Topic2,993.2753599898485,week,5737.822704384602,0.8085,-4.7665,business
Topic2,751.215546508593,global,4570.793466535583,0.7565,-5.0458,business
Topic2,502.24697525452774,supply,1916.2262630102116,1.2233,-5.4484,business
Topic2,576.0757352904086,nbsp,3240.8842928670556,0.8349,-5.3113,business
Topic2,528.918647196852,day,3361.169798387914,0.7131,-5.3967,business
Topic2,523.931523312892,china,6856.427704422824,-0.0093,-5.4061,business
Topic2,445.72151827654045,month,2947.8925547660783,0.6731,-5.5678,business
Topic3,45.424705429218164,ardern,46.367778058179645,2.6184,-7.7748,business
Topic3,42.38248809080746,varadkar,43.40920068085765,2.615,-7.8441,business
Topic3,36.54691283320271,lisbon,37.48998546577558,2.6134,-7.9923,business
Topic3,33.587648637564044,shirbon,34.53072126822666,2.6112,-8.0767,business
Topic3,32.60036167449944,gove,33.54429784744594,2.6104,-8.1065,business
Topic3,36.364719754694875,landauro,37.48955992478823,2.6085,-7.9973,business
Topic3,36.36287241879359,inti,37.489555610040924,2.6084,-7.9973,business
Topic3,29.641963042183157,crispian,30.585035671630795,2.6076,-8.2017,business
Topic3,29.641963042183157,balmer,30.585035671630795,2.6076,-8.2017,business
Topic3,29.641963042159404,spaniards,30.58503567162922,2.6076,-8.2017,business
Topic3,28.65554164114666,ticino,29.598614272512542,2.6065,-8.2355,business
Topic3,28.655541640077953,pollina,29.59861427247235,2.6065,-8.2355,business
Topic3,36.0606030963871,whitty,37.490254091593435,2.6,-8.0057,business
Topic3,21.750591844742022,wmt,22.69366447834824,2.5965,-8.5112,business
Topic3,21.750591843767797,demony,22.693664478409495,2.5965,-8.5112,business
Topic3,20.764170446480026,segreti,21.707243079177847,2.5945,-8.5576,business
Topic3,19.777749050839823,belen,20.720821680040725,2.5923,-8.6063,business
Topic3,19.777749050839823,carreno,20.720821680040725,2.5923,-8.6063,business
Topic3,19.777749050346866,mexicans,20.72082168003123,2.5923,-8.6063,business
Topic3,19.776008612572767,shekel,20.72075531975523,2.5923,-8.6064,business
Topic3,40.492598433930816,koca,42.429771175363015,2.5922,-7.8897,business
Topic3,18.786861082189162,melander,19.734389848485417,2.5897,-8.6577,business
Topic3,49.71392205414581,pasta,52.299754422202454,2.5882,-7.6846,business
Topic3,17.804906242598307,emilia,18.74797888168604,2.5873,-8.7114,business
Topic3,20.620649703730123,tuvan,21.71290039022762,2.5873,-8.5646,business
Topic3,20.620355071665713,gumrukcu,21.712912004055397,2.5873,-8.5646,business
Topic3,17.803115128019492,telekom,18.74791058907405,2.5872,-8.7115,business
Topic3,43.131634144013454,aviv,45.431276109455226,2.587,-7.8266,business
Topic3,64.52359074466597,jerusalem,68.07060734390754,2.5854,-7.4238,business
Topic3,42.112925185769114,tel,44.44608822910517,2.585,-7.8505,business
Topic3,55.036912641003035,downing,58.227849263677975,2.5826,-7.5829,business
Topic3,134.21268732055955,israeli,144.10258786713183,2.5678,-6.6914,business
Topic3,51.019276604815914,sanchez,54.34423082269058,2.5758,-7.6587,business
Topic3,68.97497997096362,palestinian,74.02042176827663,2.5683,-7.3571,business
Topic3,34.42311696063702,khalip,36.500907547324076,2.5803,-8.0521,business
Topic3,115.94191708828521,nhs,128.1862230102844,2.5385,-6.8378,business
Topic3,165.32452890651948,supermarkets,187.50375506420693,2.513,-6.4829,business
Topic3,75.47486202505021,pubs,82.90071883196009,2.5451,-7.2671,business
Topic3,199.60345980761093,madrid,229.444644247338,2.4996,-6.2945,business
Topic3,124.465725292321,supermarket,140.29765071590882,2.5192,-6.7668,business
Topic3,268.6750278188138,israel,315.9134202260898,2.477,-5.9974,business
Topic3,101.7248927653466,ankara,114.81938572315768,2.5178,-6.9686,business
Topic3,99.71824922971379,lopez,114.75489447208813,2.4985,-6.9885,business
Topic3,124.45984137941443,boris,150.83449610153414,2.4467,-6.7669,business
Topic3,140.40056801663548,lombardy,174.68305892483818,2.4205,-6.6464,business
Topic3,142.8215259619821,ireland,178.2181503912285,2.4175,-6.6293,business
Topic3,162.0074559967093,rome,209.49744414791078,2.3819,-6.5032,business
Topic3,267.3075089866743,turkey,377.0117335096912,2.295,-6.0025,business
Topic3,428.80061133520184,spain,680.7892727040917,2.1767,-5.5299,business
Topic3,149.4387727413712,netanyahu,201.65699008989998,2.3392,-6.584,business
Topic3,221.00548988613824,milan,325.53987218737285,2.2516,-6.1927,business
Topic3,159.4055641800016,grocery,221.57327199158073,2.3096,-6.5194,business
Topic3,582.2699255935372,prime,1066.7244113225981,2.0335,-5.2239,business
Topic3,321.0975134240052,johnson,525.4664217910208,2.1464,-5.8191,business
Topic3,913.7611804236868,italy,1886.0204891675025,1.9143,-4.7733,business
Topic3,513.9598888657898,essential,944.1801140676758,2.0308,-5.3487,business
Topic3,1066.1152722802176,minister,2394.218319538583,1.8299,-4.6191,business
Topic3,217.77684255566695,shops,345.6613709027501,2.1769,-6.2074,business
Topic3,670.3415777815114,lockdown,1587.601111125872,1.7767,-5.0831,business
Topic3,351.674284969983,border,716.3854999517242,1.9274,-5.7282,business
Topic3,248.77776493382376,italian,467.35850739367993,2.0084,-6.0743,business
Topic3,488.2687936155491,food,1241.3492363737707,1.7058,-5.4,business
Topic3,888.8002412472824,measures,3051.602555194138,1.4054,-4.801,business
Topic3,322.48906621708767,mexico,707.3086745956692,1.8535,-5.8148,business
Topic3,341.5906941240042,schools,772.6198673169209,1.8227,-5.7572,business
Topic3,1266.3397712349827,government,6039.502246523413,1.0767,-4.447,business
Topic3,935.5649539451106,country,3900.6892346605805,1.2112,-4.7497,business
Topic3,364.87887741624166,britain,906.1557073704158,1.7293,-5.6913,business
Topic3,286.5361807549123,stores,613.4258761318841,1.8777,-5.933,business
Topic3,512.2327376185006,deaths,1673.6766166118032,1.4549,-5.3521,business
Topic3,902.8972618885857,health,5211.335501880977,0.8859,-4.7853,business
Topic3,891.7032041383428,cases,5120.040344281407,0.8911,-4.7977,business
Topic3,568.0468913607447,number,2493.1515814053814,1.1598,-5.2487,business
Topic3,655.2901314268,home,3411.1743134768362,0.9892,-5.1058,business
Topic3,278.8097790659574,ordered,646.2444235745344,1.7983,-5.9603,business
Topic3,407.23710359655377,stay,1470.5040446662488,1.355,-5.5815,business
Topic3,534.6135647052313,monday,3261.188195035378,0.8306,-5.3093,business
Topic3,514.4610292306312,spread,3390.716803113477,0.7532,-5.3477,business
Topic3,445.6161609005094,workers,2340.5842996432953,0.9802,-5.4914,business
Topic3,459.9546120923925,friday,2766.5152646401807,0.8447,-5.4597,business
Topic3,318.4305314661113,death,1011.8621442094699,1.4828,-5.8275,business
Topic3,468.18733677991736,told,3869.0377484617156,0.527,-5.442,business
Topic3,521.7577698631077,virus,5934.93436644411,0.2075,-5.3337,business
Topic3,481.16674721946566,week,5737.822704384602,0.1603,-5.4146,business
Topic3,419.189322090312,day,3361.169798387914,0.5572,-5.5525,business
Topic3,345.4796871788219,national,1691.5799580923676,1.0504,-5.7459,business
Topic3,354.4671937122606,work,2518.0666360743485,0.6783,-5.7202,business
Topic3,364.45236433663337,march,4739.866005800371,0.0736,-5.6925,business
Topic3,345.9127041347444,weeks,2340.8481855787427,0.7268,-5.7447,business
Topic4,56.89543812560989,zoom,57.83798127272654,2.6249,-7.5473,business
Topic4,47.9198331861684,lyft,48.862362339535295,2.6218,-7.7189,business
Topic4,37.946923058231754,instacart,38.88945220570201,2.6168,-7.9523,business
Topic4,51.90727634766971,linkedin,53.83613094706218,2.6048,-7.639,business
Topic4,21.987994320013502,apollo,22.93278983330305,2.5992,-8.498,business
Topic4,21.98159168180944,germs,22.932733246991887,2.599,-8.4983,business
Topic4,18.99839378846725,iphones,19.94092295092411,2.5929,-8.6441,business
Topic4,18.001102778214925,exploit,18.94363193769087,2.5903,-8.698,business
Topic4,18.001102771752738,hisham,18.943631937395647,2.5903,-8.698,business
Topic4,15.993687433643554,skill,16.9490508997609,2.5833,-8.8163,business
Topic4,168.078012402386,google,178.4828202511548,2.5812,-6.464,business
Topic4,15.00922974307865,signatures,15.951758897540824,2.5804,-8.8798,business
Topic4,15.009229734969786,diligence,15.951758897701307,2.5804,-8.8798,business
Topic4,14.011938733542177,advertisers,14.954467884217603,2.5762,-8.9486,business
Topic4,14.011938733279477,laptops,14.954467884249022,2.5762,-8.9486,business
Topic4,14.011938730141951,nellis,14.954467884138454,2.5762,-8.9486,business
Topic4,13.014647695338208,latiff,13.957176870379602,2.5714,-9.0224,business
Topic4,13.014647695338208,rozanna,13.957176870379602,2.5714,-9.0224,business
Topic4,13.014619609007447,videoconferencing,13.95717678094521,2.5714,-9.0224,business
Topic4,12.956359525286604,ecosystem,13.955431456198085,2.567,-9.0269,business
Topic4,25.86079970616218,empathy,27.90451045964736,2.5653,-8.3357,business
Topic4,16.62975446575818,servers,17.945144102636863,2.5652,-8.7773,business
Topic4,23.98484887083002,feelings,25.90773988090589,2.5642,-8.411,business
Topic4,16.578990021814494,stressful,17.9407293083874,2.5624,-8.7803,business
Topic4,31.30710231500571,alphabet,33.8977078498875,2.5618,-8.1446,business
Topic4,11.02006275989958,onsite,11.962594756291184,2.5592,-9.1888,business
Topic4,10.02277468040472,rooted,10.965303830735794,2.5514,-9.2836,business
Topic4,10.012547720035794,printers,10.965168739203783,2.5504,-9.2846,business
Topic4,10.829763679960282,inspect,11.96203869945245,2.5419,-9.2062,business
Topic4,18.92455807662606,laptop,20.920031442600177,2.5411,-8.648,business
Topic4,18.948364149111107,sensor,20.956783328342798,2.5406,-8.6468,business
Topic4,479.7235464251245,amazon,550.8057935476326,2.5031,-5.4153,business
